"","nameparse","yearone","hosts"
"7410","Microcotyle lachnolaimi",1915,NA
"7411","Microcotyle lineati",1922,NA
"7412","Microcotyle longicaudata",1912,NA
"7413","Microcotyle macracantha",1953,NA
"7414","Microcotyle macroura",1912,NA
"7415","Microcotyle n.sp.",1985,NA
"7416","Microcotyle nemadactylus",1960,4
"7417","Microcotyle neozealanicus",1960,1
"7418","Microcotyle ocellati",1912,NA
"7419","Microcotyle odacis",1962,NA
"7420","Microcotyle onitis",1912,NA
"7421","Microcotyle otrynteri",1946,1
"7422","Microcotyle paronoti",1913,NA
"7423","Microcotyle pennatulae",1916,NA
"7424","Microcotyle pentapodi",1962,NA
"7425","Microcotyle peprili",1922,1
"7426","Microcotyle pogoniae",1912,1
"7427","Microcotyle polymixiae",1963,NA
"7428","Microcotyle polynemi",1916,NA
"7429","Microcotyle pomacanthi",1912,NA
"7430","Microcotyle pomatomi",1904,1
"7431","Microcotyle pomotomi",1913,NA
"7432","Microcotyle porcini",1918,NA
"7433","Microcotyle poronoti",1910,1
"7434","Microcotyle priacanthi",1934,1
"7435","Microcotyle pseudopercis",1991,2
"7436","Microcotyle pyragraphorus",1917,NA
"7437","Microcotyle rhombi",1913,NA
"7438","Microcotyle rufae",1912,NA
"7439","Microcotyle sebastes",1947,NA
"7440","Microcotyle sebastis",1972,46
"7441","Microcotyle sp.",1895,NA
"7442","Microcotyle spinicirrus",1913,1
"7443","Microcotyle stenotomi",1910,1
"7444","Microcotyle stinotomi",1912,NA
"7445","Microcotyle temnodontis",1962,NA
"7446","Microcotyle tetranoriei",1912,NA
"7447","Microcotyloides incisa",1975,8
"7448","Microcreadium parvum",1927,1
"7449","Microfilaria (Unidentified)",1980,NA
"7450","Microfilaria alpha",1940,NA
"7451","Microfilaria beta",1940,NA
"7452","Microfilaria bolivarensis",1979,2
"7453","Microfilaria hamiltoni",1931,NA
"7454","Microfilaria sp.",1943,NA
"7455","Microlaimus dimorphus",1934,NA
"7456","Microncocotyle bicoccae",2005,NA
"7457","Micronema deletrix",1968,2
"7458","Microparyphium facetum",1971,15
"7459","Microparyphium floridae",1930,1
"7460","Microphalloides australiensis",1958,NA
"7461","Microphalloides japonicus",1938,1
"7462","Microphallus aspalacis",1957,1
"7463","Microphallus canchei",1956,NA
"7464","Microphallus caribbensis",1961,NA
"7465","Microphallus claviformis",1958,NA
"7466","Microphallus debuni",1957,NA
"7467","Microphallus excellens",1910,6
"7468","Microphallus fonti",1990,1
"7469","Microphallus forresteri",1974,1
"7470","Microphallus kinsellae",1989,NA
"7471","Microphallus kinsellai",1989,2
"7472","Microphallus limuli",1950,NA
"7473","Microphallus minus",1960,5
"7474","Microphallus minutus",1962,3
"7475","Microphallus nicolli",2007,6
"7476","Microphallus oblonga",1958,NA
"7477","Microphallus opacus",1893,11
"7478","Microphallus papillornatus",1965,NA
